nodes,community_labels,clustering_labels_5,clustering_labels_10,clustering_labels_20,clustering_labels_50,clustering_labels_100
10088,2,4,9,12,32,21
10089,8,2,5,5,9,20
1009,2,0,3,11,47,12
10090,3,1,2,9,13,53
10091,10,0,5,13,41,92
10092,2,0,3,13,22,17
10094,5,1,8,7,35,3
10095,4,1,2,17,7,45
10096,8,2,4,1,39,34
10097,2,1,0,11,21,99
10098,7,3,6,11,4,26
10099,7,3,7,8,36,57
1010,2,1,0,2,21,99
10100,11,1,2,9,24,87
101001,9,3,8,7,35,81
101002,9,4,1,12,10,21
101003,5,3,6,11,4,63
101004,8,0,3,6,22,16
101005,2,0,3,14,29,95
101006,8,4,4,10,17,79
101007,7,0,3,6,30,11
101009,1,0,1,14,0,86
10101,11,4,9,12,19,35
101010,1,4,9,1,17,22
101011,7,4,4,18,19,6
101012,8,1,0,4,24,19
101013,2,2,5,1,9,85
101014,2,0,1,3,38,40
101015,9,3,8,4,35,60
101016,13,3,6,11,21,99
101017,1,2,5,14,12,97
101018,5,3,8,7,35,91
101019,1,2,7,16,43,59
10102,4,2,5,13,44,42
101020,1,3,8,7,35,46
101021,9,1,2,17,7,45
101022,5,0,8,7,49,91
101023,0,0,1,14,45,14
101024,7,0,3,6,29,16
101025,11,1,0,4,24,60
101026,2,0,3,14,29,95
101027,7,2,5,5,1,20
101028,7,4,9,18,6,13
101029,1,3,7,16,15,48
10103,9,2,5,5,44,67
101030,7,1,2,9,13,53
101031,8,4,9,12,46,33
101032,8,1,2,9,31,18
101033,0,3,6,19,4,26
101034,1,0,5,14,44,27
101035,2,3,8,4,49,60
101037,7,2,5,1,9,85
101039,9,2,2,17,2,43
10104,8,0,3,6,8,23
101040,11,4,9,1,17,68
101041,5,0,3,6,14,54
101042,5,3,6,19,20,5
101043,9,3,8,7,7,56
101044,6,1,2,4,7,64
101045,0,1,0,4,24,19
101046,1,1,2,17,33,27
101047,7,3,8,7,32,32
101048,16,0,1,15,22,17
101049,4,1,2,4,24,18
10105,2,0,3,6,47,11
101050,9,1,2,17,14,38
101051,8,1,2,5,2,43
101052,4,2,5,13,41,89
101053,6,1,0,9,33,19
101054,2,4,4,15,12,80
101055,7,1,0,9,42,37
101056,0,0,1,14,0,97
101057,6,0,1,14,12,39
101058,8,1,0,2,42,29
101059,6,4,9,18,46,68
10106,0,3,1,14,0,7
101060,5,2,5,13,41,75
101061,11,1,3,6,14,27
101063,5,3,8,7,35,56
101065,6,1,0,2,33,83
101066,0,1,0,2,42,78
101067,11,1,2,9,33,19
101068,9,2,5,5,44,67
101069,13,4,4,18,19,6
10107,0,1,2,9,33,36
101070,5,4,4,10,19,6
101071,5,0,0,4,37,98
101072,5,1,2,9,13,87
101073,11,1,3,6,8,19
101074,2,3,6,0,4,50
101075,5,2,4,10,26,50
101076,5,3,6,11,1,63
101077,2,2,3,15,47,12
101078,7,0,3,6,14,7
101079,1,0,1,15,22,31
10108,14,0,3,6,37,54
101080,6,3,6,11,4,82
101081,0,0,3,6,14,54
101082,13,1,0,4,24,18
101083,1,2,8,7,35,73
101085,5,0,1,15,12,39
101086,1,1,2,9,31,87
101087,14,2,5,1,44,67
101088,8,4,4,18,27,15
101089,0,0,3,14,29,95
10109,3,3,6,11,20,26
101090,2,2,5,5,1,20
101091,2,1,3,17,30,28
101092,1,2,8,7,35,31
101093,2,2,8,1,39,22
101094,3,3,7,16,43,48
101095,5,2,5,1,39,34
101096,4,2,2,17,33,67
101097,0,1,0,9,13,55
101098,0,2,2,13,16,42
101099,5,1,2,9,31,19
1011,7,0,1,14,29,1
10110,6,0,3,15,22,77
101100,1,1,0,2,42,30
101101,3,1,0,2,33,19
101102,2,2,5,11,21,26
101103,4,4,9,12,46,47
101104,7,0,1,14,10,40
101105,12,3,7,16,43,59
101106,1,1,3,6,14,27
101107,4,3,6,11,5,63
101108,9,4,1,14,0,86
101109,9,3,8,7,32,81
10111,0,4,9,7,32,32
101110,11,1,0,4,24,37
101111,1,4,4,18,19,6
101112,7,1,0,11,21,99
101113,12,0,1,14,49,1
101114,3,2,5,10,41,79
101115,5,0,3,6,30,91
101116,2,1,2,17,7,64
101117,13,3,4,10,5,24
101118,0,1,2,9,13,53
101119,4,3,6,19,4,82
10112,10,2,5,1,39,14
101120,4,1,2,17,2,2
101121,0,0,3,6,8,17
101122,1,3,6,11,21,60
101123,3,1,2,17,33,27
101124,8,0,1,15,22,77
101125,5,2,5,5,44,71
101126,6,4,4,10,19,70
101127,7,4,9,12,46,47
101128,5,1,2,9,33,87
101129,6,0,3,6,8,54
10113,1,1,2,4,31,18
101130,9,0,8,3,30,11
101131,9,1,2,17,2,28
101132,0,2,4,10,11,26
101133,5,3,8,7,32,32
101134,9,4,9,18,6,96
101135,1,3,6,10,4,82
101136,5,2,5,13,1,75
101137,2,0,3,6,14,17
101138,1,1,2,17,7,3
101139,3,1,0,2,42,29
10114,10,1,0,2,37,98
101140,3,2,5,5,5,85
101141,0,1,2,9,13,53
101142,5,1,2,9,13,53
101143,4,4,9,12,32,32
101144,11,1,2,9,31,2
101145,0,4,4,10,11,70
101146,7,4,9,12,46,13
101147,8,0,3,11,21,26
101148,2,3,6,19,20,9
101149,7,4,9,18,19,35
10115,0,1,0,9,24,37
101150,12,1,3,6,14,23
101151,2,1,2,17,7,3
101152,10,4,4,18,19,96
101153,13,3,6,19,20,9
101154,0,3,6,11,21,63
101155,9,0,3,14,28,27
101156,6,0,1,1,12,89
101158,10,0,1,16,43,59
101159,1,2,5,13,41,92
10116,11,0,3,6,14,16
101160,14,0,3,6,29,16
101161,13,2,5,13,49,75
101162,6,0,3,6,40,74
101163,2,2,5,5,1,58
101164,1,2,5,13,5,55
101165,1,3,6,11,11,63
101166,7,4,9,12,46,93
101167,4,1,0,2,42,37
101168,4,4,4,18,19,96
101169,0,3,6,19,20,26
10117,9,4,9,1,23,93
101170,2,2,5,13,33,75
101171,0,0,1,14,29,16
101172,1,2,5,5,2,43
101173,3,3,7,8,48,61
101174,6,2,5,13,16,42
101175,8,1,2,9,33,55
101176,1,4,4,18,27,15
101177,1,0,1,3,47,12
101178,4,2,5,13,41,89
101179,5,2,4,1,45,34
10118,3,1,2,9,1,55
101180,5,1,2,13,33,83
101181,2,3,8,7,35,56
101182,13,3,0,4,34,60
101183,3,2,6,13,41,75
101184,7,4,9,12,19,35
101185,1,1,2,9,31,18
101187,5,3,8,7,35,81
101188,7,1,2,9,31,18
101189,11,3,7,16,43,59
10119,6,3,6,10,41,75
101190,0,1,2,9,13,87
101191,1,2,4,11,5,98
101192,6,1,0,9,24,18
101193,4,2,5,17,39,94
101194,7,2,5,5,39,94
101195,6,3,0,11,21,60
101196,5,2,8,7,35,46
101197,8,3,6,0,15,82
101198,8,2,5,5,2,43
101199,5,2,5,13,39,94
101200,9,1,0,4,21,36
101201,0,4,9,12,46,13
101202,4,1,0,4,24,60
101203,5,2,5,13,1,55
101204,7,2,0,13,5,75
101205,8,1,2,9,31,18
101206,1,2,5,13,44,27
101207,2,2,5,17,39,94
101208,1,0,1,16,43,59
10121,7,3,7,16,43,59
101210,4,3,8,4,30,91
101211,7,1,8,17,7,3
101212,0,2,6,19,11,58
101213,3,2,5,13,41,92
101214,7,1,2,9,13,53
101215,0,1,2,5,2,43
101216,4,2,8,4,49,91
101217,1,4,4,18,32,32
101218,13,3,6,11,4,63
101219,9,0,1,15,22,72
10122,0,0,1,15,45,4
101220,5,4,1,15,12,89
101221,5,4,4,15,45,4
101222,13,1,8,4,24,91
101223,1,0,8,14,49,1
101224,6,3,4,10,26,50
101225,6,1,0,4,21,99
101226,8,1,2,9,13,53
101227,0,3,6,19,3,41
101228,15,1,0,2,42,19
101229,1,4,9,12,25,21
10123,11,1,2,2,42,29
101230,4,4,9,12,25,21
101231,2,3,6,19,20,5
101232,8,3,0,11,21,98
101233,13,0,8,3,30,31
101234,1,0,3,6,49,54
101235,8,2,5,13,28,42
101236,10,4,4,18,17,15
101237,1,1,2,9,31,18
101238,5,4,4,18,19,35
101239,1,3,8,7,35,73
10124,4,1,2,17,31,2
101240,10,1,0,2,42,29
101241,9,0,1,15,22,72
101242,9,1,2,17,31,19
101243,13,4,4,10,19,70
101244,2,3,8,7,32,32
101245,0,1,0,13,49,36
101246,3,1,0,19,20,9
101247,7,4,4,12,19,35
101248,8,2,5,11,5,24
101249,4,2,5,5,44,85
10125,7,3,6,10,26,50
101250,2,1,2,17,2,53
101251,4,0,1,14,0,97
101252,9,4,9,18,17,96
101253,3,3,8,7,49,91
101254,3,2,5,11,39,94
101255,10,1,2,17,7,45
101256,0,2,5,5,2,20
101257,3,2,5,1,9,85
101258,11,2,0,13,1,55
101259,0,1,0,11,21,99
10126,2,3,8,19,35,81
101260,3,4,1,15,45,4
101261,3,4,9,1,23,14
101262,1,3,4,10,47,5
101263,1,0,1,3,38,31
101264,7,3,6,0,3,41
101265,3,4,4,18,19,96
101266,1,1,2,17,7,2
101267,7,1,2,9,28,83
101268,3,2,5,5,1,55
101269,5,0,8,17,30,28
101270,4,3,6,0,3,41
101271,7,1,0,2,37,98
101272,12,0,1,3,38,80
101273,2,0,3,6,8,78
101274,3,3,8,7,35,81
101275,5,2,4,1,5,34
101276,0,0,3,6,14,16
101277,6,2,5,5,2,85
101278,9,4,9,1,17,22
101279,6,2,5,5,1,85
10128,6,1,2,9,13,30
101280,6,3,6,0,4,82
101281,4,0,3,6,8,23
101282,9,3,8,3,38,49
101283,4,0,3,14,28,97
101284,4,1,0,4,24,19
101285,9,3,6,19,4,90
101286,9,3,8,7,35,81
101287,7,3,4,10,26,50
101289,11,1,0,4,49,75
10129,7,3,6,10,4,63
101290,7,2,5,1,23,14
101291,3,2,5,7,41,92
101292,0,4,9,12,46,33
101293,7,2,8,7,35,20
101294,3,3,8,7,35,81
101295,3,3,6,19,20,82
101296,13,2,8,13,37,98
101297,8,1,2,9,31,18
101299,3,2,6,11,21,63
1013,7,0,1,3,38,11
10130,10,2,5,5,2,20
101300,6,1,3,6,14,38
101301,0,1,0,9,37,36
101302,8,4,9,1,23,14
101303,0,4,9,18,6,51
101304,8,1,2,9,13,53
101305,10,1,2,9,13,87
101306,9,1,0,9,37,36
101307,2,0,3,4,49,36
101308,11,1,0,2,42,37
101309,4,2,8,7,40,56
10131,10,1,0,2,42,29
101310,0,3,0,2,37,98
101311,1,3,7,16,43,48
101313,15,4,9,12,25,21
101314,1,4,9,18,19,35
101315,3,4,9,1,23,93
101316,9,0,3,6,22,17
101317,8,1,8,4,30,91
101318,6,1,0,9,24,37
101319,13,0,1,14,0,97
10132,6,1,2,9,16,78
101320,8,3,7,8,36,88
101321,8,1,0,4,8,23
101322,3,1,0,4,24,64
101323,8,1,2,9,13,87
101324,7,3,8,7,32,73
101325,6,2,2,5,2,20
101326,11,2,2,13,33,71
101327,6,1,0,2,37,98
101328,0,0,3,6,29,16
101329,7,1,0,4,33,19
10133,10,0,1,15,10,40
101330,0,2,0,13,1,55
101331,1,3,7,16,18,44
101332,11,4,7,3,38,49
101333,10,1,2,5,2,28
101334,2,0,3,17,49,36
101335,6,2,5,13,41,42
101336,0,3,6,0,3,41
101337,0,0,1,3,38,49
101338,6,4,9,18,46,35
101339,8,3,6,0,40,56
10134,10,1,3,2,8,78
101340,9,2,5,13,44,67
101341,20,1,0,4,42,64
101342,3,4,9,12,25,68
101343,4,4,9,1,23,51
101344,5,3,1,3,38,80
101345,7,2,0,2,5,98
101346,8,2,5,11,5,24
101347,12,0,1,15,22,77
101348,5,0,1,14,12,77
101349,2,0,1,15,45,4
10135,4,1,2,17,33,71
101350,2,4,9,12,25,13
101351,1,4,1,12,10,40
101352,8,2,5,13,1,75
101353,1,0,3,14,28,31
101354,1,0,3,6,49,75
101355,9,2,4,10,41,92
101356,14,4,9,18,6,51
10136,2,3,6,11,4,26
10137,10,1,0,11,21,99
10138,4,3,4,7,32,90
10139,2,4,9,12,25,10
1014,0,3,8,3,38,49
10140,8,0,3,6,8,78
10141,9,1,2,17,33,45
10142,0,4,9,1,23,51
10143,3,1,0,4,24,7
10144,2,4,4,1,17,22
10145,7,0,1,14,12,97
10146,8,2,5,13,9,85
10147,3,1,2,4,33,19
10148,5,4,4,18,19,96
10149,3,0,1,14,10,40
1015,2,3,6,13,41,75
10150,6,4,4,15,27,6
10151,1,4,9,12,6,68
10152,9,1,2,17,7,3
10153,3,4,4,18,6,47
10154,11,1,0,2,37,98
10155,0,4,9,12,46,93
10156,11,1,2,17,33,83
10157,0,0,3,6,29,16
10158,6,4,9,18,17,68
10159,10,2,5,5,39,94
1016,5,1,2,9,31,64
10160,5,0,3,2,28,39
10161,6,0,1,3,38,80
10162,0,3,8,7,35,56
10163,5,3,7,16,43,48
10164,5,3,6,19,3,41
10165,9,3,8,7,32,32
10166,6,3,6,3,38,5
10167,7,2,0,2,42,29
10168,5,4,9,18,6,21
10169,0,4,4,10,26,50
1017,9,2,8,7,49,46
10171,0,4,4,10,11,70
10172,5,0,3,6,29,95
10173,4,3,6,19,4,5
10174,0,1,2,9,13,64
10175,0,3,6,11,4,63
10176,6,4,4,18,25,10
10177,4,2,4,10,41,92
10178,2,0,3,6,30,95
10179,2,3,6,19,20,9
1018,1,3,6,10,4,82
10180,9,4,9,12,46,93
10181,0,2,8,7,35,73
10182,6,2,0,7,1,71
10183,8,2,6,13,41,58
10184,8,2,5,13,41,92
10185,4,2,8,7,32,46
10186,8,1,3,6,14,38
10187,1,4,4,10,27,65
10188,0,2,5,5,39,94
10189,6,3,6,19,3,5
1019,1,0,1,14,0,86
10190,13,2,5,5,2,46
10191,10,3,6,10,26,50
10192,9,1,2,4,7,3
10193,2,1,2,17,1,71
10194,1,1,0,11,21,99
10195,9,4,9,1,23,14
10196,7,0,3,6,14,38
10197,4,4,9,12,25,21
10198,5,3,8,7,35,81
10199,6,0,1,15,38,80
1020,7,1,2,9,13,30
10200,6,3,6,19,4,26
102001,2,0,1,14,12,86
102002,1,3,4,10,26,50
102003,6,0,1,14,12,77
102004,3,1,2,17,7,28
102005,3,4,9,12,12,47
102006,2,4,9,18,6,13
102008,1,2,8,7,49,73
102009,5,4,9,1,23,14
10201,3,4,9,18,46,47
102010,9,2,5,5,44,67
102011,1,4,9,18,17,79
102012,0,4,9,1,17,47
102013,0,0,3,6,29,16
102014,6,0,1,15,12,89
102015,6,3,6,10,26,50
102016,2,0,3,14,29,95
102017,0,2,4,13,41,92
102018,5,3,6,11,21,63
102019,9,1,0,9,42,37
10202,4,4,4,18,19,35
102020,4,2,5,13,44,67
102021,2,1,2,9,31,18
102022,4,2,5,5,9,89
102023,1,3,8,7,35,73
102024,7,2,0,2,37,98
102025,5,0,3,15,22,17
102026,6,0,3,14,28,97
102027,3,1,3,4,24,23
102028,0,0,3,6,8,78
102029,1,1,2,17,33,45
10203,1,1,2,17,7,3
102030,1,1,0,9,2,7
102031,8,1,0,4,24,64
102032,8,1,0,4,49,75
102033,8,2,5,1,39,94
102035,4,1,2,17,7,3
102036,6,4,1,1,12,89
102037,12,4,9,12,46,68
102038,5,4,9,18,6,51
102039,0,0,3,6,14,54
10204,16,1,2,4,24,36
102040,4,4,4,18,32,32
102041,0,0,8,4,49,36
102042,2,3,8,7,35,81
102043,4,1,2,17,16,45
102044,11,2,5,1,17,22
102045,4,1,3,6,14,38
102046,2,2,5,5,2,46
102047,11,3,6,10,4,50
102048,2,2,5,13,5,42
102049,1,1,2,17,2,83
10205,3,1,0,13,1,55
102050,10,3,8,13,49,91
102051,6,4,4,18,11,70
102052,2,3,6,11,35,63
102053,6,3,7,8,36,57
102054,7,4,9,12,46,93
102055,9,2,8,4,49,91
102056,9,3,4,1,11,70
102057,9,3,6,0,3,60
102058,1,3,6,0,4,82
102059,2,3,6,19,20,9
10206,2,1,2,17,7,45
102060,2,4,9,12,25,68
102061,0,1,2,9,13,36
102062,11,2,5,5,1,83
102063,2,1,2,9,24,64
102064,11,2,5,5,28,7
102065,9,1,2,17,7,2
102066,7,1,2,9,13,83
102067,6,0,3,6,8,78
102068,0,1,0,9,13,30
102069,5,2,5,5,44,97
10207,11,1,3,6,14,54
102070,0,0,3,14,28,16
102071,6,1,2,9,13,87
102072,3,4,4,1,17,79
102073,13,2,5,7,9,89
102074,8,2,5,5,0,97
102075,1,2,5,1,23,14
102076,2,2,5,13,1,55
102077,0,1,3,6,24,19
102078,9,1,0,4,24,3
102079,2,0,8,13,40,56
10208,8,1,2,13,33,19
102080,4,0,3,13,41,42
102081,1,1,2,9,13,53
102082,0,1,0,2,37,36
102083,1,1,0,4,24,64
102084,4,1,2,17,16,45
102085,3,3,6,11,4,63
102086,6,1,0,2,37,98
102087,5,3,6,10,26,50
102088,9,4,4,1,17,22
102089,0,2,5,1,17,79
10209,0,3,8,7,20,56
102090,9,3,7,16,43,59
102091,1,3,6,10,26,50
102092,5,4,9,18,6,51
102093,5,1,2,9,16,74
102094,9,3,8,0,15,81
102095,5,2,5,13,41,42
102096,1,0,3,6,14,23
102097,3,0,3,6,14,17
102098,1,4,9,18,6,51
102099,2,4,4,7,32,32
1021,6,4,4,1,12,89
10210,13,1,2,17,7,3
102100,8,3,6,10,4,82
102101,1,1,2,9,31,36
102102,2,2,8,7,7,56
102103,2,2,5,1,39,94
102104,4,2,5,1,9,85
102105,1,2,2,5,2,71
102106,9,1,2,17,30,64
102107,13,1,2,9,31,2
102108,0,4,9,12,25,93
102109,5,3,8,3,40,76
102110,8,3,6,10,26,50
102111,2,0,3,6,49,54
102112,7,2,4,1,9,24
102113,12,2,5,1,39,22
102114,2,2,0,5,37,36
102115,0,1,2,5,2,43
102116,1,1,2,9,13,53
102117,1,1,0,11,21,99
102118,5,2,5,13,16,71
102119,6,4,9,18,9,51
10212,8,1,2,9,31,18
102120,4,0,6,3,3,5
102121,6,1,2,9,33,18
102122,1,1,0,11,21,99
102123,0,0,1,14,29,40
102124,8,2,3,2,37,98
102125,2,1,2,2,13,30
102126,3,4,4,10,19,6
102127,5,3,4,7,32,89
102128,8,2,4,1,11,24
102129,6,2,5,13,5,24
10213,2,1,0,2,42,8
102130,10,1,2,13,33,83
102131,1,2,8,7,35,20
102132,5,3,6,19,4,82
102133,5,1,2,9,13,53
102134,8,2,5,13,1,55
102135,0,0,1,15,10,80
102136,2,2,5,13,5,24
102137,3,3,8,7,35,90
102138,0,2,5,13,40,76
102139,3,1,3,6,8,23
102140,4,1,2,17,7,3
102141,1,2,5,13,41,42
102142,2,3,8,7,35,81
102143,3,3,6,11,4,63
102144,3,1,2,9,31,18
102145,1,2,5,5,9,46
102146,1,1,2,17,7,2
102147,1,2,8,17,7,28
102148,13,2,5,5,9,8
102149,3,2,4,1,17,79
10215,7,1,0,4,24,91
102150,0,0,1,12,10,40
102151,5,3,6,11,4,63
102152,4,3,8,7,32,89
102153,5,2,5,13,33,75
102154,5,1,0,9,13,64
102155,2,4,9,12,45,4
102156,1,1,2,4,31,38
102157,1,0,3,14,29,95
102158,4,1,2,17,31,18
102159,0,3,6,11,4,26
10216,5,0,1,14,22,17
102160,3,3,8,7,35,81
102161,7,2,5,13,5,24
102162,3,1,6,19,20,58
102163,1,0,3,5,2,95
102164,9,2,5,1,39,94
102165,0,0,1,3,22,17
102166,2,2,0,11,21,63
102167,2,0,1,11,47,12
102168,0,4,9,12,10,33
102169,1,0,1,14,29,97
10217,10,1,2,9,13,53
102170,0,2,6,11,21,99
102171,7,0,3,6,49,54
102172,9,1,2,17,7,27
102173,12,2,5,5,2,43
102174,9,1,2,17,7,3
102175,12,0,8,3,38,31
102176,1,4,7,16,18,44
102177,5,2,5,13,16,42
102178,3,2,6,13,41,75
102179,1,2,5,14,0,1
10218,7,0,3,6,14,19
102180,1,1,2,17,7,71
102181,1,4,9,1,23,51
102182,9,3,6,11,21,63
102183,4,1,6,11,21,99
102184,2,4,9,12,46,93
102185,8,4,9,18,23,68
102186,0,0,8,3,30,91
102187,4,0,3,6,29,27
102188,8,3,6,19,20,5
102189,11,2,5,13,1,71
10219,0,1,0,11,21,99
102190,0,1,0,2,42,8
102191,1,3,6,19,3,5
102192,11,2,5,13,1,71
102193,1,0,3,6,14,36
102194,5,3,7,16,18,44
102195,3,4,4,10,17,79
102196,1,3,6,19,20,9
102197,3,2,5,1,44,67
102198,8,0,5,14,28,97
102199,1,2,5,5,44,67
1022,0,4,4,10,27,6
10220,4,1,3,6,49,19
102200,1,1,2,17,7,27
102201,8,1,2,9,13,87
102202,0,2,4,5,9,6
102203,8,1,0,2,8,98
102204,1,0,1,14,0,97
102205,2,2,5,13,44,58
102206,7,4,9,1,23,93
102207,8,2,5,13,41,77
102208,1,0,1,15,47,77
102209,6,4,4,1,45,4
10221,13,1,0,9,13,30
102210,7,2,6,11,21,26
102211,1,4,1,14,0,86
102212,2,1,0,9,33,55
102213,7,1,0,2,13,30
102214,11,2,6,11,21,26
102215,2,0,1,14,12,72
102216,9,4,9,12,45,68
102217,0,4,4,10,27,65
102218,1,1,2,17,33,36
102219,8,1,0,5,28,7
10222,0,4,4,10,26,70
102220,3,3,6,10,4,63
102221,5,2,5,5,2,43
102222,1,4,4,15,45,4
102223,8,0,4,15,11,70
102224,6,2,5,13,16,42
102225,10,3,6,11,4,63
102226,5,2,0,13,1,55
102227,8,1,2,9,13,87
102228,2,1,3,4,30,91
102229,5,4,9,12,46,93
10223,11,4,9,18,19,96
102230,5,2,5,1,17,14
102231,3,4,4,18,17,79
102232,13,3,6,19,11,90
102233,3,3,8,3,38,62
102234,2,3,7,16,43,48
102235,2,3,6,10,4,82
102236,2,2,5,5,44,43
102237,8,1,2,9,33,83
102238,1,4,9,12,46,93
102239,4,1,2,17,42,18
10224,4,1,2,17,7,2
102240,0,0,3,6,28,54
102241,8,1,2,13,33,83
102242,1,1,2,17,33,2
102243,1,2,5,17,44,67
102244,10,1,0,4,24,60
102245,6,1,2,9,33,83
102246,2,0,1,14,0,86
102247,8,1,2,9,2,53
102248,11,1,3,6,30,38
102249,7,1,0,2,42,29
10225,11,1,2,9,31,45
102250,7,3,8,0,15,0
102251,0,0,3,6,8,16
102252,2,1,3,6,14,38
102253,10,2,5,1,9,85
102254,8,1,0,2,42,37
102255,1,0,3,17,14,27
102256,4,0,1,14,28,97
102257,10,2,5,5,12,85
102258,7,2,0,2,37,36
102259,1,1,8,4,30,91
10226,17,2,0,2,5,29
102260,11,1,2,9,13,30
102261,7,0,8,7,49,91
102262,5,3,6,11,4,63
102263,11,3,8,7,35,73
102264,4,1,2,17,31,45
102265,2,0,3,6,29,95
102266,10,3,6,13,40,76
102267,7,4,4,18,19,70
102269,6,3,7,16,43,48
10227,5,2,5,13,1,55
102270,1,4,8,7,0,46
102271,8,4,4,18,19,6
102272,4,1,3,6,8,37
102273,6,2,5,13,5,24
102274,0,2,8,7,0,46
102275,13,4,9,18,6,96
102276,2,3,8,3,38,49
102277,2,0,8,3,38,11
102278,6,2,5,1,17,14
102279,9,1,2,17,7,3
10228,5,2,5,5,2,28
102280,6,1,8,4,24,91
102281,6,3,6,11,4,26
102282,5,1,2,17,7,45
102283,3,1,0,2,42,29
102284,3,0,3,6,8,54
102285,13,2,5,13,1,74
102287,0,1,0,9,13,30
102288,2,1,2,9,31,18
102289,0,2,5,13,16,74
10229,0,1,2,13,1,71
102290,9,1,2,17,7,3
102291,5,1,2,9,13,87
102292,10,0,4,10,47,12
102293,0,0,1,14,10,40
102294,2,3,6,11,21,26
102295,0,1,3,6,14,38
102296,6,2,0,13,1,55
102297,1,2,8,7,0,46
102299,0,2,5,5,9,20
1023,2,0,8,3,38,49
10230,5,0,1,15,22,17
102300,7,4,8,7,32,32
102301,9,1,2,17,2,28
102302,7,1,0,2,13,30
102303,6,1,0,2,42,29
102304,1,4,1,14,10,40
102305,11,0,1,14,29,1
102306,9,4,1,3,0,86
102307,9,0,3,14,28,97
102308,1,4,9,1,23,14
102309,9,2,5,1,23,14
10231,2,1,2,9,31,18
102310,0,0,1,14,29,86
102311,10,0,3,6,49,54
102312,1,1,8,4,7,3
102313,6,1,2,9,13,83
102314,4,1,2,17,44,27
102315,1,1,2,4,2,36
102316,0,2,5,13,16,74
102317,1,1,0,9,13,30
102318,1,1,0,11,21,99
102319,2,3,8,3,32,32
10232,2,0,1,14,10,40
102320,2,1,0,4,21,60
102321,5,2,5,5,28,85
102322,5,2,0,2,37,24
102323,9,1,8,4,7,64
102324,1,1,3,6,14,38
102325,1,1,2,17,7,28
102326,1,3,8,7,35,81
102327,1,3,6,19,4,90
102328,8,1,2,9,13,87
102329,4,0,8,3,38,89
10233,2,4,9,1,23,51
102330,6,1,0,4,24,7
102331,1,1,2,9,31,53
102332,7,1,2,9,31,2
102333,3,1,0,2,37,98
102334,6,3,0,4,21,60
102335,6,1,3,6,14,83
102336,10,1,2,9,31,87
102337,5,1,2,9,16,87
102338,7,2,0,5,37,36
102339,4,1,3,4,24,19
10234,4,4,9,18,6,96
