205247	205071  agreement
9812221	9803315	disagreement
9812221	9803405	disagreement
9812221	9804398	disagreement
9812221	9805336	disagreement
9812221	9805471	disagreement
9812221	9806263	disagreement
9812221	9806292	disagreement
9812221	9806309	disagreement
9812221	9807344	disagreement
9812221	9807348	disagreement
9812221	9807415	disagreement
9812221	9809217	agreement
9812221	9809406	disagreement
9812221	9809467	disagreement
9812221	9809582	disagreement
9812221	9810410	disagreement
9812221	9810535	agreement
9812221	9811291	neutral
9812221	9811323	agreement
9812221	9811337	disagreement
9812221	9811350	disagreement
9812221	9811353	disagreement
9812221	9811356	disagreement
9812221	9811378	neutral
9812221	9811428	disagreement
9812221	9811448	agreement
9507366	9204215	agreement
9507366	9204225	agreement
9507366	9304218	Neutral
9507366	9306205	disagreement
9507366	9311222	disagreement
9507366	9402253	agreement
9507366	9408406	disagreement
9507366	9501394	disagreement
9507366	9501395	disagreement
9507366	9505242	agreement
9507366	9506359	disagreement
9507366	9506467	agreement
11147	1002	disagreement
11147	3170	agreement
11147	4129	disagreement
11147	6217	agreement
11147	6238	agreement
11147	7226	neutral
11147	10035	disagreement
11147	10260	disagreement
11147	9207279	disagreement
11147	9209232	disagreement
11147	9211309	disagreement
11147	9306309	agreement
11147	9311340	agreement
11147	9401241	disagreement
11147	9402253	agreement
11147	9404217	disagreement
11147	9405233	disagreement
11147	9501394	disagreement
11147	9512435	disagreement
11147	9803315	agreement
11147	9804398	disagreement
11147	9806273	Neutral
11147	9806292	disagreement
11147	9807344	disagreement
11147	9812221	agreement
11147	9905221	disagreement
11147	9910277	agreement
107030	5185	agreement
107030	6251	disagreement
107030	103028	agreement
107030	104051	agreement
107030	9403338	agreement
107030	9406245	disagreement
107030	9507282	disagreement
107030	9507462	disagreement
107030	9509410	agreement
107030	9601365	disagreement
107030	9606281	disagreement
107030	9606383	agreement
107030	9607394	agreement
107030	9608233	disagreement
107030	9703259	disagreement
107030	9709364	disagreement
107030	9709397	disagreement
107030	9712542	disagreement
107030	9802267	agreement
107030	9803290	Neutral
107030	9803405	disagreement
107030	9905390	Agreement
9807411	9309293	agreement
9807411	9402266	disagreement
9807411	9405342	disagreement
9807411	9508343	disagreement
9807411	9606211	disagreement
9807411	9707436	agreement
9807411	9712376	agreement
9807411	9805378	disagreement
205071	5185	disagreement
205071	6251	disagreement
205071	11132	disagreement
205071	103028	disagreement
205071	104051	disagreement
205071	107030	agreement
205071	202023	disagreement
205071	9308271	neutral
205071	9401241	Neutral
205071	9403338	disagreement
205071	9408322	disagreement
205071	9504371	disagreement
205071	9508258	disagreement
205071	9509410	disagreement
205071	9601365	disagreement
205071	9606383	disagreement
205071	9608233	disagreement
205071	9705417	agreement
205071	9709364	disagreement
205071	9709397	disagreement
205071	9711339	disagreement
205071	9712542	disagreement
205071	9802267	disagreement
205071	9803290	disagreement
205071	9803405	agreement
205071	9812397	disagreement
9806292	9203216	disagreement
9806292	9211309	Disagreement
9806292	9403290	agreement
9806292	9409350	Neutral
9806292	9502201	agreement
9806292	9606215	The papers are in agreement.
9806292	9609480	disagreement
9806292	9701343	disagreement
9806292	9707462	disagreement
9806292	9803315	disagreement
9806292	9803466	agreement
9806292	9804398	neutral
9806292	9804446	neutral
9806292	9806263	disagreement
103028	2102	disagreement
103028	4175	disagreement
103028	4200	disagreement
103028	5009	disagreement
103028	5185	agreement
103028	5265	agreement
103028	6251	agreement
103028	7327	disagreement
103028	8120	disagreement
103028	101122	disagreement
103028	102096	disagreement
103028	9401241	disagreement
103028	9411239	disagreement
103028	9511378	disagreement
103028	9606281	agreement
103028	9703320	agreement
103028	9703442	disagreement
103028	9705417	agreement
103028	9709364	agreement
103028	9709397	disagreement
103028	9712542	agreement
103028	9802267	disagreement
103028	9803290	disagreement
103028	9803405	agreement
103028	9809467	agreement
103028	9903417	agreement
103028	9904252	disagreement
103028	9904433	neutral
103028	9909326	disagreement
103028	9912265	disagreement
9410231	9207279	disagreement
9410231	9210235	disagreement
9410231	9303274	disagreement
9410231	9304218	disagreement
9410231	9304299	disagreement
9410231	9304307	disagreement
9410231	9306205	disagreement
9410231	9307226	disagreement
9410231	9308208	agreement
9410231	9308271	Neutral
9410231	9311222	disagreement
9410231	9311269	agreement
9410231	9312272	disagreement
9410231	9402254	agreement
9410231	9403306	agreement
9410231	9403330	agreement
9410231	9404257	agreement
9910277	9211309	disagreement
9910277	9308214	disagreement
9910277	9308265	disagreement
9910277	9401241	disagreement
9910277	9403290	agreement
9910277	9403340	disagreement
9910277	9610354	disagreement
9910277	9612458	disagreement
9910277	9705417	disagreement
9910277	9709364	agreement
9910277	9709397	disagreement
9910277	9709465	agreement
9910277	9712542	disagreement
9910277	9802267	disagreement
9910277	9803290	disagreement
9910277	9803315	disagreement
9910277	9803466	disagreement
9910277	9804398	disagreement
9910277	9806263	disagreement
9910277	9806292	disagreement
9910277	9807415	agreement
9910277	9809217	agreement
9910277	9809467	disagreement
9910277	9810410	disagreement
9910277	9811291	disagreement
9910277	9811337	disagreement
9910277	9812221	agreement
9910277	9812486	agreement
9910277	9812489	agreement
9910277	9901443	neutral
9910277	9902423	Neutral
9910277	9904211	neutral
9910277	9904232	disagreement
9910277	9904262	agreement
9910277	9904266	disagreement
9910277	9904504	agreement
9910277	9906327	agreement
9910277	9906431	agreement
9910277	9907328	disagreement
9910277	9907522	disagreement
9910277	9908369	disagreement
204311	4031	disagreement
204311	108104	disagreement
204311	9207279	disagreement
204311	9507462	disagreement
204311	9512415	agreement
204311	9602337	disagreement
204311	9607383	agreement
204311	9607394	agreement
204311	9803335	disagreement
204311	9808255	disagreement
204311	9809301	disagreement
4135	9304226	disagreement
4135	9909490	disagreement
9909490	9206246	disagreement
9909490	9309298	agreement
9909490	9408319	disagreement
9909490	9501392	disagreement
9909490	9504378	agreement
9909490	9505225	agreement
9909490	9507240	disagreement
9909490	9508334	disagreement
9909490	9512229	disagreement
9909490	9602436	disagreement
9909490	9605310	agreement
9909490	9606310	disagreement
9909490	9608317	agreement
9909490	9608318	agreement
9909490	9611248	disagreement
9909490	9703204	agreement
9909490	9705240	disagreement
9909490	9705337	agreement
9909490	9705442	neutral
9909490	9803257	Agreement
9909490	9805341	agreement
9909490	9807452	disagreement
9909490	9812275	disagreement
9909490	9908402	disagreement
9405380	9209219	disagreement
9706468	9501323	disagreement
9706468	9511422	agreement
9706468	9602419	disagreement
9706468	9609525	disagreement
9706468	9611310	disagreement
9609525	9511422	agreement
9501323	9304319	disagreement
9501323	9402279	disagreement
9501323	9410249	disagreement
9501323	9410405	agreement
9511422	9309284	disagreement
9511422	9405238	disagreement
9511422	9505219	disagreement
9611310	9403224	disagreement
9611310	9501323	disagreement
9611310	9511422	agreement
9611310	9602419	disagreement
9611310	9609525	disagreement
9611310	9610445	disagreement
9404346	9303255	disagreement
9305206	9208254	disagreement
9302307	9208254	disagreement
6092	3149	disagreement
6092	4123	disagreement
6092	5104	disagreement
6092	5135	agreement
6092	9806387	disagreement
6092	9806540	disagreement
6092	9807267	disagreement
6092	9808293	disagreement
6092	9903408	agreement
6092	9904248	disagreement
9904248	9211214	disagreement
9904248	9211328	disagreement
9904248	9405239	agreement
9904248	9410353	disagreement
9904248	9505353	disagreement
9904248	9507344	disagreement
9904248	9511220	disagreement
9904248	9512220	agreement
9904248	9612391	agreement
9904248	9702308	agreement
9904248	9703240	Neutral
9904248	9703454	agreement
9904248	9703464	disagreement
9904248	9707407	agreement
9904248	9805311	disagreement
9904248	9808205	disagreement
9904248	9809396	agreement
9904248	9809458	agreement
9904248	9809521	disagreement
9904248	9809531	agreement
9904248	9810510	disagreement
9904248	9811215	disagreement
9904248	9812418	neutral
9904248	9901350	agreement
9904248	9902267	disagreement
9904248	9904298	disagreement
4123	2053	Agreement
4123	2109	agreement
4123	3219	disagreement
4123	9305204	disagreement
4123	9403257	disagreement
4123	9405296	disagreement
4123	9411432	disagreement
4123	9503369	disagreement
4123	9601311	disagreement
4123	9805391	agreement
4123	9809371	disagreement
4123	9910205	neutral
5135	1101	agreement
5135	1128	agreement
5135	4083	agreement
5135	5104	agreement
5135	9405296	agreement
5135	9411432	disagreement
5135	9502400	disagreement
5135	9512364	disagreement
5135	9606411	disagreement
5135	9804354	disagreement
5135	9804421	agreement
5135	9807264	Neutral
5135	9910428	disagreement
5135	9912231	agreement
5135	9912240	agreement
5135	9912417	agreement
5104	1069	agreement
5104	1101	disagreement
5104	1128	disagreement
5104	2147	agreement
5104	2152	disagreement
5104	4083	agreement
5104	4191	agreement
5104	5135	agreement
5104	5310	disagreement
5104	6123	agreement
5104	6319	disagreement
5104	8121	Agreement
5104	9207213	disagreement
5104	9207257	neutral
5104	9211257	disagreement
5104	9302316	disagreement
5104	9310314	disagreement
5104	9311214	disagreement
5104	9405296	disagreement
5104	9406372	Agreement
5104	9408234	disagreement
5104	9410384	agreement
5104	9411432	agreement
5104	9502263	agreement
5104	9502400	disagreement
5104	9504246	neutral
5104	9504342	disagreement
5104	9505275	disagreement
5104	9505359	agreement
5104	9505385	disagreement
5104	9506350	neutral
5104	9507212	disagreement
5104	9507352	agreement
5104	9507371	disagreement
5104	9510367	disagreement
5104	9511323	neutral
5104	9512364	agreement
5104	9601311	disagreement
5104	9602333	disagreement
5104	9606411	agreement
5104	9702372	agreement
5104	9703265	agreement
5104	9703465	disagreement
5104	9705391	neutral
5104	9711444	disagreement
5104	9712495	agreement
5104	9712537	disagreement
5104	9803244	disagreement
5104	9803299	disagreement
5104	9803487	disagreement
5104	9804354	agreement
5104	9804367	agreement
5104	9804421	disagreement
5104	9805429	disagreement
5104	9806272	agreement
5104	9806328	disagreement
5104	9806376	disagreement
5104	9806392	disagreement
5104	9806408	disagreement
5104	9807216	disagreement
5104	9807264	disagreement
5104	9807282	disagreement
5104	9809368	disagreement
5104	9810309	disagreement
5104	9812360	agreement
5104	9901403	disagreement
5104	9901450	disagreement
5104	9906469	disagreement
5104	9909393	agreement
5104	9910428	agreement
5104	9912240	agreement
5104	9912417	agreement
3149	3055	agreement
3149	3160	disagreement
3149	9508317	disagreement
3149	9711400	agreement
3149	9711415	agreement
3149	9802201	disagreement
3149	9806387	disagreement
3149	9806540	disagreement
3149	9807216	disagreement
3149	9807267	disagreement
3149	9807353	disagreement
3149	9808272	disagreement
3149	9808293	disagreement
3149	9809415	agreement
3149	9809556	agreement
3149	9811267	agreement
3149	9812360	agreement
3149	9903408	neutral
3149	9904281	agreement
3149	9906381	agreement
3149	9907203	disagreement
3149	9907234	agreement
3149	9907419	agreement
3149	9910494	disagreement
3149	9911298	agreement
3149	9912397	disagreement
9712362	9304255	agreement
9712362	9505248	disagreement
9712362	9506416	disagreement
9712362	9511288	disagreement
9712362	9601269	disagreement
9712362	9603307	disagreement
9712362	9606388	disagreement
9712362	9607401	agreement
9712362	9609443	agreement
9712362	9610507	disagreement
9712362	9610540	disagreement
9712362	9612447	disagreement
9606388	9205227	agreement
9606388	9205229	disagreement
9606388	9207221	disagreement
9606388	9209251	disagreement
9606388	9302227	neutral
9606388	9306293	Neutral
9606388	9308292	neutral
9606388	9309208	agreement
9606388	9309299	disagreement
9606388	9310280	disagreement
9606388	9310291	disagreement
9606388	9310374	disagreement
9606388	9403338	disagreement
9606388	9403349	disagreement
9606388	9405245	disagreement
9606388	9405345	Disagreement
9606388	9405399	agreement
9606388	9406296	disagreement
9606388	9406308	disagreement
9606388	9406397	disagreement
9606388	9408224	disagreement
9606388	9410231	disagreement
9606388	9412367	agreement
9606388	9412385	agreement
9606388	9502237	agreement
9606388	9503233	disagreement
9606388	9503264	disagreement
9606388	9503327	agreement
9606388	9504312	disagreement
9606388	9504314	disagreement
9606388	9504337	disagreement
9606388	9505248	agreement
9606388	9505253	disagreement
9606388	9506328	disagreement
9606388	9506354	disagreement
9606388	9506443	disagreement
9606388	9507238	agreement
9606388	9507397	neutral
9606388	9507426	disagreement
9606388	9508271	neutral
9606388	9508320	disagreement
9606388	9510439	disagreement
9606388	9510461	disagreement
9606388	9511288	disagreement
9606388	9511324	disagreement
9606388	9511378	agreement
9606388	9511444	disagreement
9606388	9511464	disagreement
9606388	9511466	disagreement
9606388	9511473	disagreement
9606388	9512325	disagreement
9606388	9601279	disagreement
9606388	9601387	disagreement
9606388	9602369	disagreement
9606388	9602395	disagreement
9606388	9602424	agreement
9606388	9603219	disagreement
9606388	9603363	disagreement
9606388	9603390	disagreement
9606388	9603412	disagreement
9606388	9604222	disagreement
9606388	9604432	disagreement
9606388	9606251	disagreement
9607401	9209296	agreement
9607401	9508258	disagreement
9607401	9603307	agreement
9612447	9209251	disagreement
9612447	9209296	disagreement
9612447	9409310	Agreement
9612447	9412259	disagreement
9612447	9502237	agreement
9612447	9503264	agreement
9612447	9504314	agreement
9612447	9506369	disagreement
9612447	9510439	disagreement
9612447	9511473	disagreement
9612447	9601387	disagreement
9612447	9602381	agreement
9612447	9604244	disagreement
9609443	9304218	neutral
9609443	9308349	disagreement
9609443	9311345	disagreement
9609443	9406239	disagreement
9609443	9408229	disagreement
9609443	9412208	disagreement
9609443	9501334	disagreement
9609443	9502252	agreement
9609443	9504373	agreement
9609443	9505248	disagreement
9609443	9506328	disagreement
9609443	9506374	disagreement
9609443	9506416	Neutral
9609443	9509379	disagreement
9609443	9510286	disagreement
9609443	9510439	disagreement
9609443	9512252	disagreement
9609443	9602281	disagreement
9609443	9602381	agreement
9609443	9603363	disagreement
9609443	9603404	disagreement
9609443	9604343	disagreement
9609443	9604387	disagreement
9609443	9606418	disagreement
9609443	9608313	disagreement
9609443	9608415	disagreement
9610540	9209251	disagreement
9610540	9212278	agreement
9610540	9302292	disagreement
9610540	9304307	disagreement
9610540	9310320	disagreement
9610540	9408224	agreement
9610540	9408384	disagreement
9610540	9502237	disagreement
9610540	9503264	disagreement
9610540	9505248	agreement
9610540	9506354	disagreement
9610540	9507378	disagreement
9610540	9511288	disagreement
9610540	9511324	disagreement
9610540	9511444	disagreement
9610540	9511473	disagreement
9610540	9601367	neutral
9610540	9602233	disagreement
9610540	9602381	disagreement
9610540	9603201	agreement
9610540	9605377	disagreement
9610540	9606203	disagreement
9610540	9606251	disagreement
9610540	9606388	disagreement
9610540	9606452	disagreement
9610540	9607298	disagreement
9610540	9607397	disagreement
9610540	9608215	disagreement
9505248	9207231	agreement
9505248	9212278	agreement
9505248	9303324	agreement
9505248	9304321	Neutral
9505248	9305274	disagreement
9505248	9310320	disagreement
9505248	9401208	neutral
9505248	9408315	disagreement
9505248	9502211	disagreement
9505248	9502418	disagreement
9506416	9209232	Neutral
9506416	9209251	disagreement
9506416	9210235	disagreement
9506416	9403350	agreement
9506416	9405245	disagreement
9506416	9410283	disagreement
9506416	9412208	agreement
9506416	9503227	agreement
9506416	9503264	disagreement
9506416	9504314	agreement
9506416	9506318	disagreement
9511288	9207213	disagreement
9511288	9207257	disagreement
9511288	9211204	disagreement
9511288	9302227	disagreement
9511288	9310212	disagreement
9511288	9312248	disagreement
9511288	9403240	disagreement
9511288	9404257	disagreement
9511288	9408313	disagreement
9511288	9504314	disagreement
9511288	9506328	disagreement
9511288	9506416	agreement
9304255	9203201	disagreement
9304255	9207209	Neutral
9304255	9207269	disagreement
9610507	9205220	disagreement
9610507	9207209	disagreement
9610507	9207269	disagreement
9610507	9301231	disagreement
9610507	9302292	disagreement
9610507	9307252	agreement
9610507	9405385	disagreement
9610507	9408282	agreement
9610507	9410259	disagreement
9610507	9602233	disagreement
9610507	9603201	agreement
9610507	9603307	agreement
9610507	9606452	disagreement
9610507	9608215	disagreement
9610507	9610319	agreement
9601269	9207269	disagreement
9601269	9211258	disagreement
9601269	9304255	agreement
9601269	9306209	disagreement
9601269	9309216	agreement
9601269	9312278	agreement
9601269	9312347	agreement
9601269	9407328	disagreement
9603307	9205220	agreement
9603307	9206203	agreement
9603307	9207209	agreement
9603307	9207269	disagreement
9603307	9208230	disagreement
9603307	9209296	agreement
9603307	9211258	neutral
9603307	9301290	disagreement
9603307	9302292	agreement
9603307	9302316	neutral
9603307	9303309	disagreement
9603307	9304205	disagreement
9603307	9304255	disagreement
9603307	9306209	disagreement
9603307	9306212	disagreement
9603307	9307252	neutral
9603307	9309214	disagreement
9603307	9309216	disagreement
9603307	9311204	agreement
9603307	9312278	disagreement
9603307	9312347	disagreement
9603307	9402229	agreement
9603307	9402231	agreement
9603307	9402333	neutral
9603307	9403201	agreement
9603307	9403398	disagreement
9603307	9404354	disagreement
9603307	9405382	neutral
9603307	9405385	disagreement
9603307	9407328	disagreement
9603307	9407389	agreement
9603307	9408282	disagreement
9603307	9409310	neutral
9603307	9409375	disagreement
9603307	9409458	disagreement
9603307	9409464	disagreement
9603307	9410259	agreement
9603307	9410412	disagreement
9603307	9501334	disagreement
9603307	9502211	disagreement
9603307	9502237	agreement
9603307	9503214	disagreement
9603307	9504241	disagreement
9603307	9504246	disagreement
9603307	9504316	Agreement
9603307	9505296	disagreement
9603307	9505308	disagreement
9603307	9505319	disagreement
9603307	9507393	disagreement
9603307	9507424	disagreement
9603307	9509207	disagreement
9603307	9512313	disagreement
9603307	9601269	disagreement
9603307	9601330	agreement
9603307	9602250	agreement
9603307	9602307	agreement
103017	1039	disagreement
103017	2147	disagreement
103017	9350	neutral
103017	101273	disagreement
103017	103062	disagreement
103017	9305204	disagreement
103017	9511227	disagreement
103017	9906469	disagreement
103017	9910205	agreement
9511227	9207209	disagreement
9511227	9209299	disagreement
9511227	9302290	disagreement
9511227	9307316	disagreement
9511227	9412365	disagreement
9910205	9209251	disagreement
9910205	9209299	disagreement
9910205	9211204	agreement
9910205	9211214	disagreement
9910205	9211328	neutral
9910205	9302290	agreement
9910205	9302316	agreement
9910205	9307316	disagreement
9910205	9308209	disagreement
9910205	9309292	neutral
9910205	9311204	agreement
9910205	9311214	disagreement
9910205	9401262	agreement
9910205	9401271	agreement
9910205	9403201	disagreement
9910205	9405253	neutral
9910205	9408367	disagreement
9910205	9409270	disagreement
9910205	9409310	agreement
9910205	9410353	disagreement
9910205	9411274	disagreement
9910205	9412365	disagreement
9910205	9502315	disagreement
9910205	9502385	disagreement
9910205	9505353	disagreement
9910205	9505385	disagreement
9910205	9506228	disagreement
9910205	9506354	disagreement
9910205	9506380	disagreement
9910205	9508317	disagreement
9910205	9509389	disagreement
9910205	9510419	disagreement
9910205	9511227	disagreement
9910205	9511391	disagreement
9910205	9512220	disagreement
9910205	9512237	disagreement
9910205	9512285	disagreement
9910205	9602305	disagreement
9910205	9602306	disagreement
9910205	9603213	agreement
9910205	9604445	disagreement
9910205	9606261	disagreement
9910205	9608241	disagreement
9910205	9611465	agreement
9910205	9701253	disagreement
9910205	9702392	disagreement
9910205	9703240	disagreement
9910205	9703276	disagreement
9910205	9703288	disagreement
9910205	9703299	neutral
9910205	9703337	Disagreement
9910205	9703454	disagreement
9910205	9705414	disagreement
9910205	9706239	disagreement
9910205	9706509	disagreement
9910205	9707207	disagreement
9910205	9709292	agreement
9910205	9709350	disagreement
9910205	9712291	disagreement
9910205	9712392	neutral
9910205	9804307	disagreement
9910205	9807216	disagreement
9910205	9807327	disagreement
9910205	9808224	disagreement
9910205	9808304	disagreement
9910205	9808327	agreement
9910205	9808456	agreement
9910205	9809396	agreement
9910205	9810382	disagreement
9910205	9810387	disagreement
9910205	9811363	disagreement
9910205	9811500	disagreement
9910205	9812361	disagreement
9910205	9812528	agreement
9910205	9901208	agreement
9910205	9902392	disagreement
9910205	9903253	neutral
9910205	9903435	Neutral
9910205	9906275	disagreement
9910205	9906381	disagreement
9910205	9906525	neutral
9910205	9907234	disagreement
9305204	9203213	disagreement
9305204	9205230	agreement
1039	9302316	disagreement
1039	9305204	disagreement
1039	9402229	disagreement
1039	9402231	disagreement
1039	9402333	disagreement
1039	9403201	disagreement
1039	9407265	disagreement
1039	9410259	neutral
1039	9607251	disagreement
1039	9702372	Neutral
1039	9703267	disagreement
1039	9801368	disagreement
1039	9803305	disagreement
1039	9806387	disagreement
1039	9807305	disagreement
1039	9808296	agreement
1039	9809531	agreement
1039	9812273	disagreement
1039	9906469	disagreement
1039	9906539	disagreement
1039	9907421	agreement
1039	9909231	disagreement
1039	9909453	disagreement
1039	9910494	disagreement
1039	9911349	disagreement
1039	9912231	disagreement
9906469	9310207	disagreement
9906469	9505425	agreement
9906469	9608311	disagreement
9906469	9610339	agreement
9906469	9702361	disagreement
9906469	9703267	disagreement
9906469	9705339	disagreement
9906469	9706239	disagreement
9906469	9805238	disagreement
9906469	9805272	disagreement
9906469	9807216	agreement
9906469	9807525	disagreement
9906469	9808470	disagreement
9906469	9903473	disagreement
9906469	9905220	disagreement
101273	3163	disagreement
101273	4193	disagreement
101273	5259	disagreement
101273	9339	disagreement
101273	11245	disagreement
101273	12089	disagreement
101273	12168	disagreement
101273	9306278	disagreement
101273	9310207	disagreement
101273	9811444	disagreement
101273	9901404	neutral
101273	9903329	neutral
101273	9903554	disagreement
101273	9906469	disagreement
101273	9911458	disagreement
2147	1124	disagreement
2147	9211214	disagreement
2147	9503439	agreement
2147	9504287	disagreement
2147	9509423	agreement
2147	9512220	disagreement
2147	9608253	agreement
2147	9702343	disagreement
2147	9703240	disagreement
2147	9703454	disagreement
2147	9801368	disagreement
2147	9801431	agreement
2147	9803440	agreement
2147	9804400	agreement
2147	9807305	agreement
2147	9808203	agreement
2147	9808205	agreement
2147	9808270	disagreement
2147	9809531	agreement
2147	9812273	neutral
2147	9812418	disagreement
2147	9901350	agreement
2147	9902267	disagreement
2147	9904248	disagreement
2147	9906469	disagreement
2147	9906539	disagreement
2147	9907421	disagreement
2147	9909453	agreement
103062	3219	disagreement
103062	4249	disagreement
103062	8145	agreement
103062	101091	disagreement
103062	102319	agreement
103062	9209299	disagreement
103062	9302290	neutral
103062	9307316	disagreement
103062	9412365	disagreement
103062	9502385	agreement
103062	9511227	disagreement
103062	9602305	disagreement
103062	9609276	disagreement
103062	9702420	disagreement
103062	9808293	disagreement
103062	9809396	disagreement
103062	9809540	disagreement
103062	9903253	neutral
103062	9910205	disagreement
103062	9910316	disagreement
101083	3221	neutral
101083	4068	disagreement
101083	8127	disagreement
101083	11360	disagreement
101083	9302281	disagreement
101083	9305335	disagreement
101083	9404280	agreement
101083	9503489	agreement
101083	9504378	disagreement
101083	9511344	disagreement
101083	9601384	neutral
101083	9603368	agreement
101083	9605339	disagreement
101083	9703402	disagreement
101083	9704448	agreement
101083	9705442	disagreement
101083	9807332	disagreement
101083	9810432	disagreement
101083	9903507	disagreement
101083	9912373	agreement
101083	9912467	agreement
9903507	9405401	disagreement
9903507	9406428	disagreement
9903507	9601384	disagreement
9903507	9703402	disagreement
9903507	9706508	agreement
9903507	9708485	agreement
9903507	9807332	disagreement
9903507	9810432	agreement
9903507	9902244	disagreement
9903507	9902428	disagreement
11360	1175	agreement
11360	2033	disagreement
11360	2043	disagreement
11360	2055	neutral
11360	4068	agreement
11360	4069	agreement
